datetime,open,high,low,close,volume,adx,bop,ema,sma1,sma2,sma3,sma4,obv,kst,kst_signal,macd,macd_signal,macd_hist,mfi,percent_b,ultosc,Pct_change
2022-01-31 00:00:00,82.78,86.4,82.63,83.12,43117700,15.06309,0.09019,68.3281,86.77143,85.901,83.9746,64.99725,2043226600.0,37.42773,48.2772,0.67869,1.37943,-0.70074,46.43896,0.27074,45.29427,0.0049570789505501
2022-01-24 00:00:00,82.46,84.7,80.91,83.22,71940200,15.29014,0.20053,68.17943,87.42,85.8115,83.799,64.88825,2086344300.0,41.07351,49.25014,1.02898,1.55462,-0.52564,44.51248,0.29353,49.02723,0.0012030798845041
2022-01-17 00:00:00,87.84,88.5,83.76,84.04,39863800,14.85884,-0.80169,68.02827,88.14572,85.851,83.6052,64.76695,2158284500.0,47.36248,49.57554,1.45093,1.68603,-0.23509,55.28099,0.35441,50.80647,0.0098534006248498
2022-01-10 00:00:00,88.82,90.59,87.55,88.8,33621000,15.2398,-0.00658,67.86735,88.32714,85.9175,83.3372,64.6532,2198148300.0,54.16877,49.00479,1.8849,1.7448,0.1401,63.69775,0.73362,58.93241,0.0566396953831507
2022-01-03 00:00:00,90.72,92.31,88.91,89.3,45345500,15.73882,-0.41765,67.65697,87.98429,85.775,83.0488,64.5116,2231769300.0,55.11377,47.55695,1.92673,1.70977,0.21696,72.025,0.79247,57.51099,0.0056306306306306
2021-12-27 00:00:00,88.59,91.08,88.46,90.61,15702700,15.65614,0.77099,67.43945,87.84286,85.499,82.7696,64.3572,2277114800.0,52.57564,45.82807,1.90119,1.65553,0.24566,71.36678,0.93621,60.09136,0.0146696528555432
2021-12-20 00:00:00,85.98,88.6,84.57,88.31,17577400,15.99187,0.57816,67.20658,87.77,85.291,82.4876,64.20645,2261412100.0,49.06442,44.27001,1.70756,1.59412,0.11344,64.99559,0.7798,60.0303,-0.0253835117536695
2021-12-13 00:00:00,88.25,89.34,86.36,87.66,30910100,17.12215,-0.19799,66.99449,87.7,85.0825,82.1692,64.08535,2243834700.0,48.77784,43.27485,1.66975,1.56576,0.104,62.60706,0.74633,56.40101,-0.0073604348318424
2021-12-06 00:00:00,86.17,88.64,85.86,88.3,26478000,17.74099,0.76619,66.7868,87.33714,84.9005,81.8476,63.96345,2274744800.0,48.93067,43.02636,1.66339,1.53976,0.12364,56.13979,0.83247,56.18418,0.0073009354323523
2021-11-29 00:00:00,87.06,87.25,83.75,85.31,48352600,18.68501,-0.5,66.57058,86.84143,84.572,81.5258,63.8389,2248266800.0,46.18418,43.32555,1.56592,1.50885,0.05707,56.77159,0.57321,52.18366,-0.0338618346545865
2021-11-22 00:00:00,88.35,89.4,85.47,86.4,26595700,19.96887,-0.49618,66.38225,86.67571,84.361,81.2376,63.72665,2296619400.0,44.0021,44.88523,1.72317,1.49458,0.22859,65.82324,0.69426,57.6848,0.0127769311921228
2021-11-15 00:00:00,90.13,90.17,88.02,88.31,24389000,20.90622,-0.84651,66.18106,85.93,84.19,80.9452,63.5973,2323215100.0,42.2257,47.57006,1.78783,1.43744,0.35039,64.56149,0.89663,62.61128,0.0221064814814815
2021-11-08 00:00:00,88.78,90.15,88.54,90.1,28131700,20.59556,0.81988,65.95866,84.79572,83.9185,80.6132,63.45745,2347604100.0,41.13821,51.61994,1.64988,1.34984,0.30004,70.75827,1.13583,65.92235,0.0202695051523043
2021-10-25 00:00:00,85.26,88.06,85.02,87.82,32615400,19.96223,0.8421,65.71604,83.50572,83.52,80.2064,63.30235,2319472400.0,39.55387,57.40725,1.26755,1.27483,-0.00728,71.03555,1.03765,64.38799,-0.0253052164261931
2021-10-18 00:00:00,85.37,86.27,84.63,85.12,25367900,19.99872,-0.15244,65.49388,82.57857,83.166,79.8302,63.1604,2286857000.0,38.55314,64.4679,0.99327,1.27665,-0.28337,70.92292,0.76752,55.93916,-0.0307447050785696
2021-10-11 00:00:00,83.43,85.73,83.28,84.83,28277600,20.7598,0.57143,65.29664,82.42,83.216,79.4878,63.03015,2261489100.0,40.10794,72.54562,0.90365,1.34749,-0.44383,63.52619,0.71334,56.8357,-0.003406954887218
